identifier, premises_name, premises_number, premises_category, application_date, psu_registration_number, supervising_pharmacist, district, region, street_or_road
829, KIMSY MEDS LTD, NDA/PRE/WHP/0278, Wholesale Pharmacy, 17/10/2017, 678, Alawi Sebalu, KAMPALA, Central Region - Nakawa, Industrial Area
830, King Pharmacy, NDA/PRE/RTP/1674, Retail Pharmacy, 27/11/2017, 793, Andrew Walungama, WAKISO, Central Region - Nakawa, Ssisa Rd
831, Kinn Pharmaceuticals (U) Ltd, NDA/PRE/RTP/1183, Retail Pharmacy, 29/01/2018, 1085, Deo Ssewankambo, WAKISO, Central Region - Nakawa, ALONG HOIMA ROAD
832, KISEMBO PHARMACEUTICALS LIMITED, NDA/PRE/RTP/3436, Retail Pharmacy, 26/04/2018, 1196, JUDITH KAINZA, LUWERO, Central Region - Nakawa, ALONG BAMUNANIKA RD
833, Kishate Oak Investments Ltd, NDA/PRE/RTP/3208, Retail Pharmacy, 17/01/2018, 604, Robert Kabanza, Bushenyi, South Western Region - Mbarara, Rukungiri road
834, KISORO CENTRAL PHARMACY, NDA/PRE/WHP/1809, Wholesale Pharmacy, 30/07/2018, 1210, OLIVER KUSHEMERERWA, Kisoro, South Western Region - Mbarara, Bunagana Rd
835, Kisozi Vet Pharmacy, NDA/PRE/RTP/2038, Retail Pharmacy, 17/11/2017, 1093, NICHOLAS MUTUMBA, GOMBA, Central Region - Nakawa, Kigezi Rd
836, Kisubi Pharmacy, NDA/PRE/RTP/0548, Retail Pharmacy, 21/11/2017, 902, Immaculate Nabwire, WAKISO, Central Region - Nakawa, Entebbe Rd
837, Kisubi Pharmacy - Mpala, NDA/PRE/RTP/1828, Retail Pharmacy, 20/11/2017, 928, Steven Ziritwawula, WAKISO, Central Region - Nakawa, Entebbe Rd
838, KISUKI ENTERPRISES (U) LIMITED, NDA/PRE/RTP/2250, Retail Pharmacy, 10/05/2018, 748, MERCY MUSINGUZI, Bundibugyo, Western Region - Hoima, COUNCIL
839, KITARA VET PHARMACY LIMITED, NDA/PRE/RTP/3290, Retail Pharmacy, 27/02/2018, 1120, ASHIRAF KAKOOZA, Masindi, Western Region - Hoima, PORT ROAD
840, Kitgum Pharmacy Ltd, NDA/PRE/RTP/1955, Retail Pharmacy, 26/04/2018, 1248, JOANITAH NYASINGE, Kitgum, Northern Region - Lira, Ogwok Rd
841, Kizinda Pharmacy, NDA/PRE/RTP/2921, Retail Pharmacy, 31/10/2017, 523, TIMOTHY NUWAGABA, Bushenyi, South Western Region - Mbarara, Ishaka - Kasese Highway
842, KKO PHARMACEUTICALS LTD, NDA/PRE/RTP/1957, Retail Pharmacy, 11/12/2017, 1152, Okwee Justine, Lira, Northern Region - Lira, Noteber Rd
843, KOBIAN SCIENTIFIC (UGANDA) LIMITED, NDA/PRE/MDV/2478, Medical Devices, 11/12/2017, 1505, Okech Ayayo, KAMPALA, Central Region - Nakawa, Spring Road
844, KPI HEALTHCARE LIMITED, NDA/PRE/WHP/0437, Wholesale Pharmacy, 13/11/2017, 893, Joseph Mubiru, KAMPALA, Central Region - Nakawa, Stretcher Rd
845, Kravis Healthcare Ltd, NDA/PRE/RTP/0477, Retail Pharmacy, 21/12/2017, 304, Khalid  Mohammed, WAKISO, Central Region - Nakawa, KIRA ROAD
846, Krim Pharmaceuticals Ltd, NDA/PRE/RTP/0053, Retail Pharmacy, 19/01/2018, 836, JAMES MUYINDA, KAMPALA, Central Region - Nakawa, Hoima Rd
847, KUMATE DIAGNOSTICS LTD, NDA/PRE/MDV/2675, Medical Devices, 21/11/2017, 7531, TUSIMOMUHANGI EMMANUEL, KAMPALA, Central Region - Nakawa, WILSON STREET
848, Kungu Pharmacy, NDA/PRE/RTP/0557, Retail Pharmacy, 28/11/2017, 473, Lydia Mirembe, WAKISO, Central Region - Nakawa, Trading Centre
849, Kuribs Pharmacy, NDA/PRE/RTP/1204, Retail Pharmacy, 05/12/2017, 589, Kuribanza Adrone, KAMPALA, Central Region - Nakawa, Mutundwe Rd
850, KWAGALA PHARMACY, NDA/PRE/WHP/3158, Wholesale Pharmacy, 23/12/2017, 1156, Fred Tabu, Namayingo, South Eastern Region - Jinja, main road
851, KWAGALIZA ANDREW INVESTIMENT LIMITED, NDA/PRE/RTP/3781, Retail Pharmacy, 24/10/2018, 1299, CHRISTINE TAKAN, MITYANA, Western Region - Hoima, PETROL STATION -HOIMA RD
852, KWALITY AFRO ASIA LIMITED, NDA/PRE/PMB/1720, Pharmaceutical Manufacturer B, 29/03/2018, 821, ALLAN  KASIBANTE, KAMPALA, Central Region - Nakawa, Bombo Road
853, Kwality Afro Asia Ltd, NDA/PRE/WHP/2291, Wholesale Pharmacy, 08/12/2017, 618, Elemu Tonny, KAMPALA, Central Region - Nakawa, Bombo Road
854, KWEWAYO (U) VET PHARMACY LIMITED, NDA/PRE/WHP/0480, Wholesale Pharmacy, 09/11/2017, 226, MARY KALEMERA, KAMPALA, Central Region - Nakawa, Nakivubo Place
855, Kwewayo Vet Pharmacy Ltd - Masaka, NDA/PRE/WHP/0708, Wholesale Pharmacy, 07/12/2017, 581, Paul Ucakacon, MASAKA, Central Region - Nakawa, Edward Avenue
856, KWEWAYO(U) VET PHARMACY LTD, NDA/PRE/WHP/0582, Wholesale Pharmacy, 15/11/2017, 361, TABURA MANYINDO, Mbarara, South Western Region - Mbarara, HIGH STREET
857, KWIKIRIZA PHARMACY LIMITED, NDA/PRE/WHP/2108, Wholesale Pharmacy, 27/11/2017, 909, Oliver Nsooli, Jinja, South Eastern Region - Jinja, Tirinyi Rd
858, KWIKIRIZA PHARMACY LTD, NDA/PRE/WHP/1399, Wholesale Pharmacy, 14/11/2017, 814, DANIEL AGUMA, Mayuge, South Eastern Region - Jinja, MUSITA-MAYUGE RD
859, KWIKIRIZA PHARMACY LTD, NDA/PRE/WHP/2321, Wholesale Pharmacy, 04/06/2018, 1036, DAVID AMANYIRE, Iganga, South Eastern Region - Jinja, MAGUMBA ROAD
860, KYEGEGWA PHARMACY LTD, NDA/PRE/RTP/1173, Retail Pharmacy, 11/12/2017, 705, Ndagire Nabisere, Kyegegwa, Western Region - Hoima, COUNCIL
861, KYENJOJO PHARMACY LIMITED, NDA/PRE/RTP/1160, Retail Pharmacy, 08/12/2017, 705, Ndagire Nabisere, Kyenjojo, Western Region - Hoima, KAMPALA ROAD
862, LA VIE PHARMACEUTICALS LTD, NDA/PRE/MDV/3703, Medical Devices, 10/09/2018, 25851, BRIAN KAZIBWE, Mukono, South Eastern Region - Jinja, Nkoyoyo Road. Mukono
863, LABLINK INTERNATIONAL LIMITED, NDA/PRE/MDV/2198, Medical Devices, 29/12/2017, 2834, Moses  Kiziito, KAMPALA, Central Region - Nakawa, SEMAWATA ROAD, NTINDA
864, LABORATORY NEEDS SOLUTION LIMITED, NDA/PRE/MDV/2300, Medical Devices, 06/12/2017, 4120120125, Francis Mulindwa, KAMPALA, Central Region - Nakawa, Nsalo Road
865, LABORATORY WORLD SMC LTD, NDA/PRE/MDV/3715, Medical Devices, 20/09/2018, 25659, SOLOMON OJILONG, KAMPALA, Central Region - Nakawa, Wilson Road
866, LABOREX UGANDA LIMITED, NDA/PRE/WHP/0303, Wholesale Pharmacy, 23/10/2017, 348, Peter Kalyango, KAMPALA, Central Region - Nakawa, Bombo Rd
867, LABSOLUTIONS UGANDA LTD, NDA/PRE/MDV/3345, Medical Devices, 21/03/2018, b, CHARLES KYAMANYWA, KAMPALA, Central Region - Nakawa, WILSON ROAD
868, LAISI PHARMACY LTD, NDA/PRE/RTP/0555, Retail Pharmacy, 24/11/2017, 850, Namatovu Leticia, KAMPALA, Central Region - Nakawa, Kamwokya- Church Rd
869, Lake Pharmacy, NDA/PRE/RTP/0081, Retail Pharmacy, 02/11/2017, 727, BADRU AKENDO, KAMPALA, Central Region - Nakawa, Nateete Rd
870, LALAR PHARMACY, NDA/PRE/RTP/0160, Retail Pharmacy, 22/10/2018, 1283, PETER KYOMUGISA, Gulu, Northern Region - Lira, Awich Rd
871, Lalin Royal Pharmacy, NDA/PRE/RTP/1002, Retail Pharmacy, 05/12/2017, 910, Joseph Nsubuga, KAMPALA, Central Region - Nakawa, Masaka Rd
872, LANCET LABORATORIES UGANDA LTD, NDA/PRE/MDV/3660, Medical Devices, 10/08/2018, 74967, Lucy  Nakalya, KAMPALA, Central Region - Nakawa, By pass link Bweyogerere
873, LANG AND DALE PHARMACY LIMITED, NDA/PRE/RTP/3720, Retail Pharmacy, 21/09/2018, 1287, TIMOTHY MUSAAZI, WAKISO, Central Region - Nakawa, KIRUMIRA ROAD
874, LARID PHARMACY LTD, NDA/PRE/RTP/1063, Retail Pharmacy, 15/11/2017, 873, EDDIE BAKIIKA, Mukono, South Eastern Region - Jinja, MUKONO-KAYUNGA RD
875, Lasan Pharmacy, NDA/PRE/RTP/0240, Retail Pharmacy, 03/11/2017, 872, Benjamin Atwine, WAKISO, Central Region - Nakawa, Masaka Rd
876, Lasan Pharmacy, NDA/PRE/RTP/2437, Retail Pharmacy, 12/12/2017, 886, ARTHUR KUTEESA, WAKISO, Central Region - Nakawa, Trading Centre
877, Lasan Pharmacy Limited, NDA/PRE/RTP/0689, Retail Pharmacy, 11/01/2018, 357, Otto Robert, WAKISO, Central Region - Nakawa, District Rd
878, Lash Uganda Ltd, NDA/PRE/PMA/3003, Pharmaceutical Manufacturer A, 09/01/2018, NOT APPLICABLE, ROBERT SSEMAKULA, KAMPALA, Central Region - Nakawa, Kyabando Rd
879, Lattice Pharmacy, NDA/PRE/RTP/0017, Retail Pharmacy, 01/11/2017, 414, Tumwesigye Moses, KAMPALA, Central Region - Nakawa, PortBell Rd
880, LEMON PHARMACEUTICALS (U) LTD, NDA/PRE/RTP/3611, Retail Pharmacy, 25/07/2018, 1281, JOSHUA KIPTOO, Gulu, Northern Region - Lira, KAMPALA-GULU HIGHWAY
881, LENONS PHARMACEUTICALS AND DIAGNOSTICS CO LTD, NDA/PRE/RTP/3655, Retail Pharmacy, 06/09/2018, 1287, TIMOTHY MUSAAZI, KAMPALA, Central Region - Nakawa, KYAMBOGO ROAD
882, Leo Pharmacy (U) Ltd, NDA/PRE/RTP/1735, Retail Pharmacy, 08/12/2017, 1029, Ayubu Nsibirwa, KAMPALA, Central Region - Nakawa, Bombo Rd
883, Leo Pharmacy (u) Ltd, NDA/PRE/WHP/1733, Wholesale Pharmacy, 20/11/2017, 700, ESTHER NTHENYA, KAMPALA, Central Region - Nakawa, Bombo Rd
884, Leviticus Enterprises limited, NDA/PRE/RTP/3622, Retail Pharmacy, 26/07/2018, 1300, JohnMary Turyatunga, Bundibugyo, Western Region - Hoima, Bundibugyo main street
885, Liana Pharmacy, NDA/PRE/RTP/0418, Retail Pharmacy, 09/12/2017, 798, David Waiswa, WAKISO, Central Region - Nakawa, Kamuli Rd
886, Life Care Investments (U) Ltd, NDA/PRE/RTP/0712, Retail Pharmacy, 07/02/2018, 991, SSANYU NAMBI, KAMPALA, Central Region - Nakawa, Ben Kiwanuka Strt
887, Life Care Investments (U) Ltd, NDA/PRE/WHP/0711, Wholesale Pharmacy, 16/04/2018, 1204, SAMUEL KATUNGI, KAMPALA, Central Region - Nakawa, BEN KIWANUKA STREET
888, LIFE CARE PHARMACY LTD - KABALE, NDA/PRE/RTP/0728, Retail Pharmacy, 30/11/2017, 229, SHOUKAT KHAN, Kabale, South Western Region - Mbarara, Main Road
889, LIFE CARE PHARMACY LTD-KABALE, NDA/PRE/WHP/0725, Wholesale Pharmacy, 27/11/2017, 229, SHOUKAT KHAN, Kabale, South Western Region - Mbarara, Main Road
890, Life Link Pharmacy, NDA/PRE/RTP/0361, Retail Pharmacy, 08/12/2017, 685, Allen Nabanoba, KAMPALA, Central Region - Nakawa, Kyaliwajjala
891, LIFE PHARMA (A) LTD, NDA/PRE/EXT/3260, External Store, 09/02/2018, 733, NALUWU CAROLINE, KAMPALA, Central Region - Nakawa, WILSON ROAD
892, Life Pharma (A) Ltd, NDA/PRE/RTP/0439, Retail Pharmacy, 15/11/2017, 733, NALUWU CAROLINE, KAMPALA, Central Region - Nakawa, Wilson Rd
893, Life Pharma (A) Ltd, NDA/PRE/WHP/0147, Wholesale Pharmacy, 13/11/2017, 321, FAROUQ IGA, KAMPALA, Central Region - Nakawa, Kalerwe Rd
894, LIFE PHARMA AFRICA LIMITED, NDA/PRE/WHP/1354, Wholesale Pharmacy, 15/11/2017, 733, NALUWU CAROLINE, KAMPALA, Central Region - Nakawa, Wilson Rd
895, Life Plus Pharmaceuticals Ltd, NDA/PRE/RTP/1641, Retail Pharmacy, 07/12/2017, 1071, Edel Masembe, WAKISO, Central Region - Nakawa, Nansana
896, Life Stream Pharmacy Ltd, NDA/PRE/WHP/0535, Wholesale Pharmacy, 28/11/2017, 917, BOB WABWIRE, MPIGI, Central Region - Nakawa, Masaka Rd
897, LIFECARE DIAGNOSTICS LIMITED, NDA/PRE/MDV/1926, Medical Devices, 12/12/2017, 4120120011, Andrew Bunya, WAKISO, Central Region - Nakawa, Entebbe Rd
898, LIFESCOPE 248 PHARMACUTICALS LIMITED, NDA/PRE/RTP/3725, Retail Pharmacy, 25/09/2018, 1276, Hajji Kaddu, Mukono, South Eastern Region - Jinja, NABUTI ROAD
899, LIFEWAY PHARMACEUTICAL INDUSTRIES LIMITED, NDA/PRE/PMC/1535, Pharmaceutical Manufacturer C, 14/12/2017, 998, Kavuma  Lubowa, Mukono, South Eastern Region - Jinja, Nangwa
900, LifeWay Pharmaceuticals Ltd, NDA/PRE/WHP/1038, Wholesale Pharmacy, 24/10/2017, 998, Denis Kavuma, KAMPALA, Central Region - Nakawa, Wilson Rd
901, Lima Pharmacy Ltd, NDA/PRE/RTP/0731, Retail Pharmacy, 07/11/2017, 754, Nabaweesi Sylvia, KAMPALA, Central Region - Nakawa, Naguru Avenue
902, Linda Pharmacy, NDA/PRE/RTP/2520, Retail Pharmacy, 06/03/2018, 1080, Gilda Nyamusana, LUWERO, Central Region - Nakawa, Gulu Highway
903, Line Pharmaceuticals Ltd, NDA/PRE/RTP/1621, Retail Pharmacy, 16/10/2017, 1057, Philip Ampaire, KAMPALA, Central Region - Nakawa, Rubaga
904, LINGRAVE PHARMACY, NDA/PRE/RTP/1278, Retail Pharmacy, 22/12/2017, 905, ALICE NANSUBUGA, MITYANA, Western Region - Hoima, ROAD
905, Lion's Pharmaceuticals Investments Limited, NDA/PRE/RTP/0553, Retail Pharmacy, 27/11/2017, 977, Jean Naitala, KAMPALA, Central Region - Nakawa, Nyanama Road
906, LISA PHARMACEUTICALS LIMITED, NDA/PRE/RTP/0649, Retail Pharmacy, 05/06/2018, 1234, CHRISTINE NAMBOOZE, KAMPALA, Central Region - Nakawa, KISAASI ROAD
907, Lisa Pharmaceuticals Limited, NDA/PRE/RTP/1512, Retail Pharmacy, 13/11/2017, 955, Joyce Batera, KAMPALA, Central Region - Nakawa, Ggaba Rd
908, Lloyds Pharmacy (U) Ltd, NDA/PRE/RTP/1615, Retail Pharmacy, 28/11/2017, 776, MICHEAL KIBWIKA, KAMPALA, Central Region - Nakawa, Entebbe Rd
909, LLOYDS PHARMACY LIMITED, NDA/PRE/WHP/2636, Wholesale Pharmacy, 25/06/2018, 1257, SHEILLA MUSTAFA, WAKISO, Central Region - Nakawa, ENTEBBE ROAD
910, Lobrat Investments Ltd, NDA/PRE/MDV/2330, Medical Devices, 19/12/2017, 222062, Ouma Ramadhan, WAKISO, Central Region - Nakawa, Namugongo Rd
911, LOMAS PHARMACY, NDA/PRE/RTP/3493, Retail Pharmacy, 24/05/2018, 1115, SIMON IROGO, Kitgum, Northern Region - Lira, APILA ROAD
912, LORD'S GRACE PHARMACY, NDA/PRE/RTP/2599, Retail Pharmacy, 26/04/2018, 1174, ATAHO WARREN, LUWERO, Central Region - Nakawa, LUWERO
913, Loui- Lina Pharmacy Ltd, NDA/PRE/RTP/0389, Retail Pharmacy, 16/01/2018, 859, Kyabadde Deo, WAKISO, Central Region - Nakawa, Entebbe Road
914, Lourilet Pharmacy, NDA/PRE/RTP/0941, Retail Pharmacy, 08/12/2017, 885, DERRICK KIIRYA, WAKISO, Central Region - Nakawa, Mityana Rd
915, LOURILET PHARMACY, NDA/PRE/RTP/2673, Retail Pharmacy, 29/12/2017, 1099, IRENE  APUN, WAKISO, Central Region - Nakawa, ENTEBBE ROAD
916, Lubii Pharmaceuticals Co Ltd, NDA/PRE/RTP/0175, Retail Pharmacy, 27/11/2017, 1006, Zainab Akello, AMURU, Northern Region - Lira, Trading Center
917, Lubowa Pharmaceutical Ltd, NDA/PRE/RTP/2262, Retail Pharmacy, 13/11/2017, 626, DENIS OKORI, MPIGI, Central Region - Nakawa, Mawokota
918, Lubowa Pharmaceuticals, NDA/PRE/WHP/2408, Wholesale Pharmacy, 13/11/2017, 626, Okori Okello, MPIGI, Central Region - Nakawa, Buwama
919, LUBULA PHARMACY LIMITED, NDA/PRE/RTP/2990, Retail Pharmacy, 08/01/2018, 1135, ISRAEL MUGISHA, Masindi, Western Region - Hoima, KARIBUNI LANE
920, LUBUS PHARMACEUTICALS LTD, NDA/PRE/RTP/1444, Retail Pharmacy, 05/12/2017, 720, JOANITHA ATUHAIRE, Mukono, South Eastern Region - Jinja, Bukerere Rd
921, LUGAZI PHARMACEUTICALS LTD, NDA/PRE/WHP/1397, Wholesale Pharmacy, 02/11/2017, 703, FRANCIS OBOI, Buikwe, South Eastern Region - Jinja, KYAGWE LUGAZI TOWN
922, LUGAZI PHARMACEUTICALS LTD, NDA/PRE/WHP/2309, Wholesale Pharmacy, 15/11/2017, 1079, Grace Nyamaizi, Mukono, South Eastern Region - Jinja, ALONG JINJA-KAMPALA HIGHWAY
923, LUNAR PHARMACEUTICALS LTD, NDA/PRE/RTP/0922, Retail Pharmacy, 28/03/2018, 956, Victor Bewayo, KAMPALA, Central Region - Nakawa, SEMBULE VILLAGE
924, Lunar Pharmacy, NDA/PRE/RTP/2063, Retail Pharmacy, 18/04/2018, 1185, BUSINGE ALLAN, KAMPALA, Central Region - Nakawa, Kabalagala Rd
925, Lutindo Pharmacy, NDA/PRE/RTP/0425, Retail Pharmacy, 03/01/2018, 568, NAMIREMBE BARBRA, KAMPALA, Central Region - Nakawa, Kasangati-Gayaza Rd
926, Lwadda Dispensing Chemists Ltd, NDA/PRE/RTP/0338, Retail Pharmacy, 18/12/2017, 379, Kibumba George, KAMPALA, Central Region - Nakawa, Wilson Lane
927, LWAMATA PHARMACY LIMITED, NDA/PRE/RTP/2396, Retail Pharmacy, 30/12/2017, 946, ROBERT MUSIMBAGO, KIBOGA, Western Region - Hoima, TOWN
928, LYV Pharmacy, NDA/PRE/RTP/1006, Retail Pharmacy, 23/04/2018, 1192, JOHNPETER GUWAATUDDE, KAMPALA, Central Region - Nakawa, Luwum Street
929, M KAY PHARMACY, NDA/PRE/RTP/0681, Retail Pharmacy, 06/06/2018, 1244, Bosco Nfitumukiza, KAMPALA, Central Region - Nakawa, Rubaga Rd
930, M.R Enterprises Ltd, NDA/PRE/RTP/1378, Retail Pharmacy, 17/11/2017, 268, WILSON KAYAMBA, KAMPALA, Central Region - Nakawa, Wilson Rd
931, M2M PHARMACEUTICALS (U)LTD, NDA/PRE/RTP/3057, Retail Pharmacy, 30/11/2017, 681, MAGOMBE GEOFREY, Mayuge, South Eastern Region - Jinja, JINJA / IGANGA HIGHWAY
932, MAA PHARMACEUTICALS LTD, NDA/PRE/RTP/1784, Retail Pharmacy, 05/01/2018, 1087, ABEL MUHEREZA, Mbarara, South Western Region - Mbarara, High Street
933, MAA PHARMACEUTICALS LTD, NDA/PRE/WHP/0598, Wholesale Pharmacy, 28/12/2017, 1087, ABEL MUHEREZA, Mbarara, South Western Region - Mbarara, High Street
934, MAAN'S INVESTMENT LTD PHARMACY, NDA/PRE/WHP/2068, Wholesale Pharmacy, 13/11/2017, 673, OIK KONRAD, Kayunga, South Eastern Region - Jinja, Kampala Rd
935, MAAZ PHARMA (A) LTD, NDA/PRE/EXT/2815, External Store, 12/12/2017, 321, TWIKIRIZE GAD, KAMPALA, Central Region - Nakawa, ARUA PARK
936, MACNAUGHTON LIMITED, NDA/PRE/WHP/0228, Wholesale Pharmacy, 12/10/2017, 347, Annet Ahimbisibwe, KAMPALA, Central Region - Nakawa, Buganda Rd
937, MAISHA MEDICAL SUPPLIES LIMITED, NDA/PRE/WHP/0347, Wholesale Pharmacy, 31/10/2017, 790, Emma Kamala, KAMPALA, Central Region - Nakawa, Naguru Drive, Naguru Hill
938, MAISHA PHARMACY AND COSMETICS LTD, NDA/PRE/WHP/3555, Wholesale Pharmacy, 26/06/2018, 1246, BONNY NSHEKA, Kasese, South Western Region - Mbarara, TOWN
939, Majestic Pharma (U) Ltd, NDA/PRE/RTP/1949, Retail Pharmacy, 07/12/2017, 1046, Komakech Alfred, Lira, Northern Region - Lira, Bala Rd
940, Majestic Pharma (U) LTD, NDA/PRE/WHP/1948, Wholesale Pharmacy, 17/12/2017, 1046, Komakech Alfred, Lira, Northern Region - Lira, Bala Rd
941, Majex Pharmacy, NDA/PRE/RTP/0736, Retail Pharmacy, 14/11/2017, 438, Maija Aziz, KAMPALA, Central Region - Nakawa, Entebbe Rd
942, MAKERERE BIOTECH LABORATORIES LIMITED, NDA/PRE/EXT/2406, External Store, 06/12/2017, 14361, TITUS TUGUME, Kayunga, South Eastern Region - Jinja, GALIRAYA ROAD
943, MAKERERE UNIVERSITY / WALTER REED PROJECT LIMITED, NDA/PRE/EXT/1894, External Store, 14/12/2017, 810, AMIR WAMALA, KAMPALA, Central Region - Nakawa, Nakasero Rd
944, MAKERERE UNIVERSITY LUNG INSTITUTE, NDA/PRE/RTP/3696, Retail Pharmacy, 06/09/2018, 1054, IVAN SEGAWA, KAMPALA, Central Region - Nakawa, UPPER MULAGO HILL ROAD
945, Makoka Pharmacy, NDA/PRE/RTP/1700, Retail Pharmacy, 09/05/2018, 1042, PATRICIA AHIMBISIBWE, Kamuli, South Eastern Region - Jinja, Mutibwa Rd
946, Makro Pharmacy, NDA/PRE/RTP/0615, Retail Pharmacy, 30/11/2017, 721, HELEN KABAGABE, KAMPALA, Central Region - Nakawa, Cooper Rd
947, MALCOLM PHARMACEUTICALS LIMITED, NDA/PRE/RTP/1529, Retail Pharmacy, 26/04/2018, 500, ERIC KIGANGALI, KAMPALA, Central Region - Nakawa, KAWALA ROAD
948, Malcom Pharmaceuticals, NDA/PRE/RTP/2436, Retail Pharmacy, 19/03/2018, 500, ERIC KIGANGALI, KAMPALA, Central Region - Nakawa, TRADING CENTRE
949, MALCOM PHARMACUETICALS LTD, NDA/PRE/RTP/2565, Retail Pharmacy, 28/06/2018, 1290, NALULE NAMUTALE, KAMPALA, Central Region - Nakawa, ENTEBBE ROAD
950, Malix Pharma (U) Ltd - Iganga, NDA/PRE/RTP/2103, Retail Pharmacy, 13/04/2018, 1125, ANDREW SINGE, Iganga, South Eastern Region - Jinja, MAIN STREET
951, Malix Pharma (U) Ltd - Iganga, NDA/PRE/WHP/2101, Wholesale Pharmacy, 19/01/2018, 947, Derrick Ssemujju, Iganga, South Eastern Region - Jinja, MAIN STREET
952, Malva Pharmacy, NDA/PRE/RTP/0431, Retail Pharmacy, 13/01/2018, 721, HELEN KABAGABE, WAKISO, Central Region - Nakawa, Trading Centre
953, MALYSTAL PHARMACIES LTD, NDA/PRE/RTP/2307, Retail Pharmacy, 07/11/2017, 1228, Joel Mudanya, Mukono, South Eastern Region - Jinja, MAIN STREET
954, MAMA AVE MARIA N & E PHARMACY, NDA/PRE/RTP/1497, Retail Pharmacy, 16/04/2018, 979, Lillian Nakimuli, KAMPALA, Central Region - Nakawa, NABWERU ROAD
955, MAMRE PHARMACY, NDA/PRE/RTP/3075, Retail Pharmacy, 03/08/2018, 952, Edwin Baguma, WAKISO, Central Region - Nakawa, BULENGA
956, MANDELA PHARMACY, NDA/PRE/RTP/1084, Retail Pharmacy, 08/05/2018, 645, JOHN ALELEU, SOROTI, Eastern Region - Tororo, GWERI ROAD
957, Maranatha Pharmacy, NDA/PRE/RTP/0896, Retail Pharmacy, 08/12/2017, 384, JACKSON MUKONZO, KAMPALA, Central Region - Nakawa, Kireka
958, MARATHON PHARMACY LTD, NDA/PRE/RTP/1132, Retail Pharmacy, 09/03/2018, 891, Daniel Mawerere, Jinja, South Eastern Region - Jinja, Lubas Road
959, marco pharmaceuticals ltd, NDA/PRE/EXT/3095, External Store, 07/12/2017, 300, Elly Byaruhanga, KAMPALA, Central Region - Nakawa, Ben Kiwanuka street
960, Marco Pharmaceuticals Ltd, NDA/PRE/RTP/0393, Retail Pharmacy, 18/01/2018, 464, CATHERINE KAKAYI, KAMPALA, Central Region - Nakawa, Ben Kiwanuka Street
961, Marco Pharmaceuticals Ltd, NDA/PRE/WHP/0394, Wholesale Pharmacy, 14/11/2017, 300, Byaruhanga Elly, KAMPALA, Central Region - Nakawa, Ben Kiwanuka Street
962, MARCY WORLD PHARMACY, NDA/PRE/RTP/1102, Retail Pharmacy, 05/12/2017, 730, MARY ATIM, MBALE, Eastern Region - Tororo, Cathedral Avenue
963, Marianna Pharmacy, NDA/PRE/RTP/0441, Retail Pharmacy, 22/11/2017, 217, Svetlana Voltchenko, KAMPALA, Central Region - Nakawa, Luwum Street
964, Marianna Pharmacy, NDA/PRE/WHP/0440, Wholesale Pharmacy, 17/10/2018, 343, NATALIE NABBIMBA, KAMPALA, Central Region - Nakawa, Luwum Street
965, MARIE STOPES UGANDA LIMITED, NDA/PRE/WHP/0090, Wholesale Pharmacy, 23/11/2017, 683, GEOFREY KOHOLO, KAMPALA, Central Region - Nakawa, Kisugu-Muyenga Rd
966, Martin Health Care (U) Ltd, NDA/PRE/RTP/0015, Retail Pharmacy, 18/12/2017, 846, JOSEPH NYOMBI, KAMPALA, Central Region - Nakawa, Luwum Street
967, MARTYRS PHARMACEUTICALS LIMITED, NDA/PRE/RTP/2655, Retail Pharmacy, 03/11/2017, 1139, RODGERS MULONDO, WAKISO, Central Region - Nakawa, None
968, MARY PHARMACEUTICALS AND MED SUPPLIES LTD, NDA/PRE/RTP/2602, Retail Pharmacy, 06/02/2018, 1023, DAN RUBAGUMYA, KAMPALA, Central Region - Nakawa, LUGOBA
969, Marz Phamacy Ltd, NDA/PRE/WHP/1004, Wholesale Pharmacy, 14/11/2017, 926, PATRICK SSALI, KAMPALA, Central Region - Nakawa, William Street
970, Marz Pharmacy Ltd, NDA/PRE/EXT/2503, External Store, 23/01/2018, 926, Patrick Ssali, KAMPALA, Central Region - Nakawa, William Street
971, Masaka Diocesan medical Services Ltd, NDA/PRE/WHP/0048, Wholesale Pharmacy, 12/10/2017, 828, Aloysious Musiitwa, MASAKA, Central Region - Nakawa, Ddungu Wing
972, Masaka Health Pharmaceutical Ltd, NDA/PRE/RTP/1202, Retail Pharmacy, 16/04/2018, 1207, LILIAN KISAKYE, MASAKA, Central Region - Nakawa, Elgin Strt
973, MASAKA VET PHARMACY LIMITED, NDA/PRE/RTP/3366, Retail Pharmacy, 21/09/2018, 548, BUSIKU MOSES, MASAKA, Central Region - Nakawa, BUDDU STREET
974, Masaka Vet Pharmacy Ltd, NDA/PRE/WHP/1443, Wholesale Pharmacy, 03/04/2018, 548, MOSES BASIKU, MASAKA, Central Region - Nakawa, Buddu Street
975, M-ASS PHARMACY, NDA/PRE/RTP/1671, Retail Pharmacy, 22/11/2017, 628, David Mutungi, KAMPALA, Central Region - Nakawa, Kafumbe Mukasa Rd
976, MASTER PHARMACEUTICALS (U) LIMITED, NDA/PRE/WHP/3369, Wholesale Pharmacy, 04/04/2018, 555, Kimuli Kirinya, WAKISO, Central Region - Nakawa, ALONG ENTEBBE ROAD
